CAMIS,GRADE,BORO
40385767,0,BROOKLYN
40385774,-1,BROOKLYN
40385852,1,MANHATTAN
40385873,0,MANHATTAN
40385885,0,BROOKLYN
40385955,0,BRONX
40385974,0,STATEN ISLAND
40386001,0,MANHATTAN
40386058,0,STATEN ISLAND
40386067,0,STATEN ISLAND
40386069,0,QUEENS
40386147,0,QUEENS
40386278,0,BRONX
40386303,0,BROOKLYN
40386340,0,MANHATTAN
40386425,0,QUEENS
40386428,0,QUEENS
40386429,0,QUEENS
40386481,1,MANHATTAN
40386508,1,MANHATTAN
40386515,1,MANHATTAN
40386528,0,QUEENS
40386554,0,BROOKLYN
40386556,0,MANHATTAN
40386569,0,MANHATTAN
40386570,0,MANHATTAN
40386612,0,QUEENS
40386616,1,BROOKLYN
40386619,0,MANHATTAN
40386646,0,MANHATTAN
40386672,0,BRONX
40386675,0,QUEENS
40386722,1,QUEENS
40386747,0,MANHATTAN
40386793,0,QUEENS
40386837,0,BROOKLYN
40386927,1,MANHATTAN
40386970,0,MANHATTAN
40386976,1,MANHATTAN
40386999,0,MANHATTAN
40387027,0,QUEENS
40387086,-1,MANHATTAN
40387143,0,BRONX
40387162,0,MANHATTAN
40387178,0,BRONX
40387237,1,MANHATTAN
40387243,0,STATEN ISLAND
40387277,1,MANHATTAN
40387339,1,MANHATTAN
40387357,0,MANHATTAN
40387399,1,BRONX
40387418,1,MANHATTAN
40387428,0,BROOKLYN
40387477,0,BRONX
40387528,0,BRONX
40387549,0,QUEENS
40387746,1,STATEN ISLAND
40387754,0,MANHATTAN
40387787,0,BROOKLYN
40387825,1,BROOKLYN
40387861,1,MANHATTAN
40387876,-1,MANHATTAN
40387890,1,MANHATTAN
40387907,1,MANHATTAN
40387986,1,MANHATTAN
40387990,0,MANHATTAN
40388016,1,BRONX
40388091,-1,MANHATTAN
40388194,1,MANHATTAN
40388214,0,MANHATTAN
40388218,0,MANHATTAN
40388225,0,MANHATTAN
40388235,0,QUEENS
40388253,0,BRONX
40388260,1,BROOKLYN
40388269,0,BRONX
40388270,0,MANHATTAN
40388281,1,MANHATTAN
40388321,0,MANHATTAN
40388348,0,MANHATTAN
40388386,1,BROOKLYN
40388392,1,BRONX
40388419,0,MANHATTAN
40388457,0,MANHATTAN
40388462,1,BRONX
40388578,0,MANHATTAN
40388619,0,MANHATTAN
40388639,0,QUEENS
40388640,0,MANHATTAN
40388668,0,BROOKLYN
40388672,1,MANHATTAN
40388730,0,MANHATTAN
40388784,0,MANHATTAN
40388787,0,MANHATTAN
40388808,0,BROOKLYN
40388818,0,MANHATTAN
40388823,0,BROOKLYN
40388828,0,MANHATTAN
40388863,0,MANHATTAN
40388901,0,MANHATTAN
40388917,0,MANHATTAN
40388935,0,MANHATTAN
40389011,1,BRONX
40389114,0,MANHATTAN
40389115,0,QUEENS
40389138,1,MANHATTAN
40389175,0,BROOKLYN
40389243,0,MANHATTAN
40389266,0,QUEENS
40389308,0,QUEENS
40389356,0,MANHATTAN
40389357,1,MANHATTAN
40389365,0,BRONX
40389455,0,MANHATTAN
40389504,0,MANHATTAN
40389594,1,BRONX
40389601,0,QUEENS
40389633,1,QUEENS
40389681,0,STATEN ISLAND
40389701,0,QUEENS
40389710,0,MANHATTAN
40389732,1,BROOKLYN
40389807,0,MANHATTAN
40389819,0,QUEENS
40389881,1,QUEENS
40389900,0,MANHATTAN
40389903,0,BROOKLYN
40389907,1,QUEENS
40389994,0,MANHATTAN
40390046,1,MANHATTAN
40390163,0,QUEENS
40390185,0,QUEENS
40390186,1,MANHATTAN
40390194,1,MANHATTAN
40390209,-1,MANHATTAN
40390232,0,QUEENS
40390235,0,MANHATTAN
40390241,0,QUEENS
40390266,0,BRONX
40390409,1,MANHATTAN
40390536,0,STATEN ISLAND
40390547,0,MANHATTAN
40390653,0,BROOKLYN
40390655,0,STATEN ISLAND
40390696,1,MANHATTAN
40390729,0,BROOKLYN
40390758,0,QUEENS
40390781,1,QUEENS
40390814,0,BRONX
40390820,0,MANHATTAN
40390822,0,MANHATTAN
40390850,-1,STATEN ISLAND
40390902,0,MANHATTAN
40390973,0,QUEENS
40391002,0,MANHATTAN
40391032,0,QUEENS
40391060,0,MANHATTAN
40391086,0,STATEN ISLAND
40391091,0,MANHATTAN
40391092,1,MANHATTAN
40391121,0,MANHATTAN
40391143,0,MANHATTAN
40391154,0,MANHATTAN
40391174,0,MANHATTAN
40391205,0,BROOKLYN
40391206,0,MANHATTAN
40391259,1,QUEENS
40391271,-1,QUEENS
